No,Chinese,Pinyin,English
301,球,qiú,ball
302,去,qù,go
303,去年,qùnián,Last year
304,热,rè,heat
305,人,rén,people
306,认识,rènshi,know
307,认真,rènzhēn,earnest
308,日,rì,date
309,日期,rìqī,Date
310,肉,ròu,meat
311,三,sān,Three
312,山,shān,mountain
313,商场,shāng chǎng,"mall; shopping mall"
314,商店,shāngdiàn,Shop
315,上,shàng,upper
316,上班,shàngbān,go to work
317,上边,shàng biān,"above; on"
318,上车,shàng chē,get on
319,上次,shàng cì,last time
320,上课,shàng kè,"attend class; have a class"
321,上网,shàngwǎng,Surf the Internet
322,上午,shàngwǔ,morning
323,上学,shàng xué,go to school
324,少,shǎo,less
325,谁,shéi,who
326,身上,shēn shàng,"body; on one’s body"
327,身体,shēntǐ,body
328,什么,shénme,What
329,生病,shēngbìng,Fall ill
330,生气,shēngqì,get angry
331,生日,shēngrì,Birthday
332,十,shí,Ten
333,时候,shíhou,time
334,时间,shíjiān,time
335,事,shì,thing
336,试,shì,try
337,是,shì,yes
338,是不是,shì bú shì,isn’t it?
339,手,shǒu,hand
340,手机,shǒujī,Mobile phone
341,书,shū,book
342,书包,shū bāo,school bag
343,书店,shū diàn,bookstore
344,树,shù,tree
345,水,shuǐ,water
346,水果,shuǐguǒ,Fruits
347,睡,shuì,sleep
348,睡觉,shuìjiào,sleep
349,说,shuō,speak
350,说话,shuōhuà,talk
351,四,sì,Four
352,送,sòng,give
353,岁,suì,"year, age"
354,他,tā,he
355,他们,tā men,they
356,她,tā,she
357,她们,tā men,they
358,太,tài,too
359,天,tiān,day
360,天气,tiānqì,weather
361,听,tīng,hear
362,听到,tīng dào,hear
363,听见,tīng jiàn,hear
364,听写,tīng xiě,"dictation; dictate"
365,同学,tóngxué,Classmate
366,图书馆,túshūguǎn,Library
367,外,wài,"abroad, outside"
368,外边,wài biān,outside
369,外国,wài guó,"foreign country"
370,外语,wài yǔ,"foreign language"
371,玩儿,wánr,play
372,晚,wǎn,late
373,晚饭,wǎn fàn,dinner
374,晚上,wǎnshang,Night
375,网上,wǎng shàng,online
376,网友,wǎng yǒu,net friend
377,忘,wàng,forget
378,忘记,wàngjì,forget
379,问,wèn,ask
380,我,wǒ,I
381,我们,wǒmen,We
382,五,wǔ,Five
383,午饭,wǔ fàn,lunch
384,西,xī,west
385,西边,xī biān,"west; west side"
386,洗,xǐ,wash
387,洗手间,xǐshǒujiān,Restroom
388,喜欢,xǐhuan,like
389,下（名、动）,xià,"below; under; next; go down; get off"
390,下班,xià bān,get off work
391,下边,xià biān,"below; under"
392,下车,xià chē,get off
393,下次,xià cì,next time
394,下课,xià kè,finish class
395,下午,xiàwǔ,Afternoon
396,下雨,xiàyǔ,rain
397,先,xiān,before
398,先生,xiānsheng,Sir
399,现在,xiànzài,Now
400,想,xiǎng,think
