No,Chinese,Pinyin,English
3,八,bā,eight
5,吧,ba,(interjection particle)
8,百,bǎi,hundred
22,本(量),běn,(measure word for books or volumes)
25,别(副),bié,Don't
26,别的,bié de,other
27,别人,bié·rén,other people
32,不客气,bú kè qì,You're welcome
33,不用,bú yòng,No need to
34,不,bù,No
53,次(量),cì,(measure word for times, frequency)
67,地,de,auxiliary word
68,等(动),děng,wait
74,弟弟｜弟,dì di ｜ dì,younger brother
75,第(第二),dì ( dì èr ),auxiliary word for ordinal numbers (second)
76,点,diǎn,spot
93,对不起,duìbuqǐ,I'm sorry
94,多(形、代),duō,many; much; more
95,多少,duōshao,how much
98,二,èr,Two
109,分(名、量),fēn,minute; point; part; (measure word)
118,哥哥｜哥,gē ge ｜ gē,elder brother
120,个,gè,individual
143,号,hào,Number/date
169,几,jǐ,several
177,教学楼,jiào xué lóu,teaching building
178,姐姐｜姐,jiě jie ｜ jiě,elder sister
185,九,jiǔ,Nine
210,了,le,past tense marker
216,零｜〇,líng ｜ líng,zero
217,六,liù,Six
227,吗,ma,auxiliary word
231,毛(量),máo,a fractional unit of money in China (measure word)
232,没,méi,no
233,没关系,méiguānxi,No problem
234,没什么,méi shén me,It's nothing
235,没事儿,méi shìr,It's okay
236,没有,méi yǒu,have not; no
241,们(朋友们),men ( péng yǒu men ),plural marker for pronouns and a few animate nouns (friends)
250,哪,nǎ,which
251,哪里,nǎ lǐ,where
252,哪儿,nǎr,where
253,哪些,nǎ xiē,which
254,那(代),nà,that
255,那边,nà biān,there
256,那里,nà lǐ,there
257,那儿,nàr,there
258,那些,nà xiē,those
269,呢,ne,auxiliary word
271,你,nǐ,you
272,你们,nǐ men,you
274,您,nín,you
296,请,qǐng,please
298,请进,qǐng jìn,please come in
299,请问,qǐng wèn,excuse me
300,请坐,qǐng zuò,please have a seat
325,谁,shéi,who
328,什么,shénme,What
332,十,shí,Ten
354,他,tā,he
355,他们,tā men,they
356,她,tā,she
357,她们,tā men,they
380,我,wǒ,I
381,我们,wǒmen,We
382,五,wǔ,Five
416,行,xíng,That's ok
427,一,yī,One
454,再见,zàijiàn,Bye
464,这,zhè,Here (here)
465,这边,zhè biān,here
466,这里,zhè lǐ,here
467,这儿,zhèr,here
468,这些,zhè xiē,these
