No,Chinese,Pinyin,English
7,白天,bái tiān,day
11,半年,bàn nián,half a year
12,半天,bàn tiān,half day
19,北,běi,north
20,北边,běi biān,North side
21,北京,běi jīng,Beijing
42,车,chē,car
43,车票,chē piào,ticket
44,车上,chē shàng,in the car
45,车站,chē zhàn,station
48,出,chū,out
49,出来,chū lái,come
50,出去,chū qù,go out
54,从,cóng,from
56,打(动),dǎ,hit, take
57,打车,dǎ chē,take a taxi
62,大学,dà xué,university
64,到,dào,reach
69,地,dì,ground
70,地点,dìdiǎn,location
71,地方,dìfang,local
72,地上,dì shàng,on the ground
73,地图,dìtú,Map
84,东,dōng,east
85,东边,dōng biān,east side
100,饭店,fàndiàn,restaurant
101,房间,fángjiān,Room
102,房子,fáng zi,house; building
107,飞机,fēijī,aircraft
114,干什么,gàn shén me,What to do
128,国,guó,country; state; nation
129,国家,guójiā,Country
130,国外,guó wài,foreign; oversea; abroad
131,过,guò,pass
132,还,hái,also; still; yet
134,还有,hái yǒu,also; in addition; besides
136,汉语,hànyǔ,Chinese
149,后边,hòu biān,behind; back
150,后天,hòu tiān,day after tomorrow
154,回(动),huí,go back; return
155,回答,huídá,Answer
156,回到,huí dào,back to
157,回家,huí jiā,go home; return home
158,回来,huí lái,come back; return
159,回去,huí qù,go back
161,火车,huǒ chē,train
162,机场,jīchǎng,Airport
163,机票,jī piào,air ticket
169,几,jǐ,several
180,今年,jīn nián,this year
181,今天,jīntiān,Today
182,进,jìn,enter
183,进来,jìn lái,come in
184,进去,jìn qù,go in
200,课本,kè běn,textbook
201,课文,kè wén,text
202,口,kǒu,mouth
205,来,lái,come
206,来到,lái dào,come; arrive
207,老(形),lǎo,old; aged
208,老人,lǎo rén,old people; the aged
212,冷,lěng,cold
213,里,lǐ,in
214,里边,lǐ biān,inside
218,楼,lóu,floor
219,楼上,lóu shàng,upstairs
220,楼下,lóu xià,downstairs
221,路,lù,road
222,路口,lù kǒu,intersection; crossing
223,路上,lù shàng,on the road
225,马路,mǎ lù,road; street
226,马上,mǎshàng,Right off
238,门,mén,door
239,门口,mén kǒu,doorway
240,门票,mén piào,tickets
247,明年,míng nián,next year
248,明天,míngtiān,Tomorrow
251,哪里,nǎ lǐ,where
252,哪儿,nǎr,where
255,那边,nà biān,there
256,那里,nà lǐ,there
257,那儿,nàr,there
265,南,nán,south
266,南边,nán biān,south; south side
267,难,nán,hard, difficult
282,旁边,pángbiān,Side
283,跑,pǎo,run
285,票,piào,ticket
290,汽车,qì chē,car
291,前,qián,front
292,前边,qián biān,in front
293,前天,qián tiān,the day before yesterday
301,球,qiú,ball
302,去,qù,go
303,去年,qùnián,Last year
304,热,rè,heat
312,山,shān,mountain
313,商场,shāng chǎng,mall; shopping mall
314,商店,shāngdiàn,Shop
315,上,shàng,upper
316,上班,shàngbān,go to work
317,上边,shàng biān,above; on
318,上车,shàng chē,get on
319,上次,shàng cì,last time
321,上网,shàngwǎng,Surf the Internet
322,上午,shàngwǔ,morning
323,上学,shàng xué,go to school
337,时候,shíhou,time
338,时间,shíjiān,time
339,事,shì,thing
349,说,shuō,speak
350,说话,shuōhuà,talk
360,天气,tiānqì,weather
365,听写,tīng xiě,dictation; dictate
366,同学,tóngxué,Classmate
367,图书馆,túshūguǎn,Library
368,外,wài,abroad, outside
369,外边,wài biān,outside
370,外国,wài guó,foreign country
371,外语,wài yǔ,foreign language
374,晚上,wǎnshang,Night
375,网上,wǎng shàng,online
376,网友,wǎng yǒu,net friend
384,西,xī,west
385,西边,xī biān,west; west side
389,下(名、动),xià,below; under; next; go down; get off
390,下班,xià bān,get off work
391,下边,xià biān,below; under
392,下车,xià chē,get off
393,下次,xià cì,next time
394,下课,xià kè,finish class
395,下午,xiàwǔ,Afternoon
421,学校,xuéxiào,School
422,学院,xué yuàn,college; academy
429,医生,yīshēng,Doctor
430,医院,yīyuàn,Hospital
445,有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
447,右,yòu,right
448,右边,yòubian,Right
451,远,yuǎn,far
452,月,yuè,month
455,在,zài,stay; in process of
456,在家,zài jiā,at home
457,早,zǎo,early
459,早上,zǎoshang,Morning
461,站(名),zhàn,station
476,中,zhōng,middle; in
477,中国,zhōngguó,China
478,中间,zhōngjiān,Middle
479,中文,zhōngwén,Chinese
480,中午,zhōngwǔ,Noon
485,住,zhù,live
490,走,zǒu,go, walk
491,走路,zǒu lù,walk
495,昨天,zuótiān,Yesterday
496,左,zuǒ,left
497,左边,zuǒbian,left
