No,Chinese,Pinyin,English
9,班,bān,class
22,本(量),běn,(measure word for books or volumes)
23,本子,běn zi,book
24,比,bǐ,particle used for comparison
62,大学,dà xué,university
63,大学生,dà xué shēng,university student
77,电,diàn,electricity
78,电话,diàn huà,phone
79,电脑,diànnǎo,Computer
80,电视,diànshì,television
81,电视机,diàn shì jī,television
82,电影,diànyǐng,Film
83,电影院,diàn yǐng yuàn,cinema; movie theater
86,东西,dōngxi,thing
90,读,dú,read
91,读书,dú shū,reading; study
104,放假,fàng jià,holiday; have a holiday
105,放学,fàng xué,off school
116,高兴,gāoxìng,happy
123,工人,gōngrén,Worker
124,工作,gōngzuò,work
136,汉语,hànyǔ,Chinese
137,汉字,hàn zì,Chinese character
151,话,huà,word; words
166,记,jì,remember
167,记得,jìdé,remember
168,记住,jì zhù,remember; keep in mind
175,教,jiāo,teach
176,叫(动),jiào,call; be called
177,教学楼,jiào xué lóu,teaching building
190,开会,kāi huì,have a meeting
195,看见,kànjiàn,seeing
196,考,kǎo,test; examine
197,考试,kǎoshì,Examination
198,课,kè,course
199,课,kè,course
200,课本,kè běn,textbook
201,课文,kè wén,text
211,累,lèi,tired
246,明白,míngbai,clear
276,女,nǚ,woman
292,前边,qián biān,in front
320,上课,shàng kè,attend class; have a class
323,上学,shàng xué,go to school
339,事,shì,thing
341,是,shì,yes
342,是不是,shì bú shì,isn't it?
343,手,shǒu,hand
344,书,shū,book
345,书包,shū bāo,school bag
346,书店,shū diàn,bookstore
347,树,shù,tree
348,水,shuǐ,water
357,她们,tā men,they
364,听写,tīng xiě,dictation; dictate
366,同学,tóngxué,Classmate
367,图书馆,túshūguǎn,Library
370,外国,wài guó,foreign country
371,外语,wài yǔ,foreign language
379,问,wèn,ask
394,下课,xià kè,finish class
396,下雨,xiàyǔ,rain
405,小时,xiǎoshí,hour
406,小学,xiǎo xué,primary school; elementary school
407,小学生,xiǎo xué shēng,elementary school student
409,写,xiě,write
418,学,xué,learn; study
419,学生,xuésheng,Student
420,学习,xuéxí,Study
421,学校,xuéxiào,School
422,学院,xué yuàn,college; academy
426,页,yè,page
427,一,yī,One
439,一些,yì xiē,some
440,用,yòng,use
441,有,yǒu,have
474,知道,zhīdào,know
475,知识,zhīshi,knowledge
476,中,zhōng,middle; in
477,中国,zhōngguó,China
479,中文,zhōngwén,Chinese
480,中午,zhōngwǔ,Noon
481,中学,zhōng xué,middle school
482,中学生,zhōng xué shēng,middle School student
484,重要,zhòngyào,important
487,桌子,zhuōzi,Table
488,字,zì,word, character
489,子(桌子),zi ( zhuō zi ),noun suffix (table)
