No,Chinese,Pinyin,English
401,小,xiǎo,Small
402,小孩儿,xiǎo háir,"child; kid"
403,小姐,xiǎojiě,Miss
404,小朋友,xiǎo péng yǒu,"child; kid"
405,小时,xiǎoshí,hour
406,小学,xiǎo xué,"primary school; elementary school"
407,小学生,xiǎo xué shēng,elementary school student
408,笑,xiào,laugh
409,写,xiě,write
410,谢谢,xièxie,Thank you
411,新,xīn,new
412,新年,xīn nián,New Year
413,星期,xīngqī,week
414,星期日,xīng qī rì,Sunday
415,星期天,xīng qī tiān,Sunday
416,行,xíng,That’s ok
417,休息,xiūxi,Rest
418,学,xué,"learn; study"
419,学生,xuésheng,Student
420,学习,xuéxí,Study
421,学校,xuéxiào,School
422,学院,xué yuàn,"college; academy"
423,要（动）,yào,want
424,爷爷,yéye,grandpa
425,也,yě,also
426,页,yè,page
427,一,yī,One
428,衣服,yīfu,clothes
429,医生,yīshēng,Doctor
430,医院,yīyuàn,Hospital
431,一半,yí bàn,half
432,一会儿,yíhuìr,A little while
433,一块儿,yí kuàir,together
434,一下儿,yí xiàr,a little bit
435,一样,yíyàng,equally
436,一边,yìbiān,One side
437,一点儿,yīdiǎnr,a little bit
438,一起,yìqǐ,together
439,一些,yì xiē,some
440,用,yòng,use
441,有,yǒu,have
442,有的,yǒu de,some
443,有名,yǒumíng,Famous
444,有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
445,有（一）些,yǒu （ yì ） xiē,some
446,有用,yǒu yòng,useful
447,右,yòu,right
448,右边,yòubian,Right
449,雨,yǔ,rain
450,元,yuán,"element; Yuan"
451,远,yuǎn,far
452,月,yuè,month
453,再,zài,again
454,再见,zàijiàn,Bye
455,在,zài,"stay; in process of"
456,在家,zài jiā,at home
457,早,zǎo,early
458,早饭,zǎo fàn,breakfast
459,早上,zǎoshang,Morning
460,怎么,zěnme,How
461,站（名）,zhàn,station
462,找,zhǎo,look for
463,找到,zhǎo dào,find
464,这,zhè,"Here (here)"
465,这边,zhè biān,here
466,这里,zhè lǐ,here
467,这儿,zhèr,here
468,这些,zhè xiē,these
469,着,zhe,"in process of"
470,真,zhēn,really
471,真的,zhēn de,really
472,正（副）,zhèng,"just; exactly"
473,正在,zhèngzài,"in process of"
474,知道,zhīdào,know
475,知识,zhīshi,knowledge
476,中,zhōng,"middle; in"
477,中国,zhōngguó,China
478,中间,zhōngjiān,Middle
479,中文,zhōngwén,Chinese
480,中午,zhōngwǔ,Noon
481,中学,zhōng xué,middle school
482,中学生,zhōng xué shēng,middle School student
483,重,zhòng,heavy
484,重要,zhòngyào,important
485,住,zhù,live
486,准备,zhǔnbèi,Get ready
487,桌子,zhuōzi,Table
488,字,zì,"word, character"
489,子（桌子）,zi （ zhuō zi ）,"noun suffix (table)"
490,走,zǒu,"go, walk"
491,走路,zǒu lù,walk
492,最,zuì,most
493,最好,zuìhǎo,Best
494,最后,zuìhòu,Last
495,昨天,zuótiān,Yesterday
496,左,zuǒ,left
497,左边,zuǒbian,left
498,坐,zuò,sit
499,坐下,zuò xià,sit down
500,做,zuò,do
