No,Chinese,Pinyin,English
13,帮,bāng,help
14,帮忙,bāng máng,help
28,病,bìng,disease
40,唱,chàng,sing
41,唱歌,chàng gē,sing
46,吃,chī,eat
47,吃饭,chī fàn,have meal
48,出,chū,out
49,出来,chū lái,come
50,出去,chū qù,go out
51,穿,chuān,wear
56,打(动),dǎ,hit, take
57,打车,dǎ chē,take a taxi
58,打电话,dǎ diàn huà,make a phonecall
59,打开,dǎ kāi,turn on
60,打球,dǎ qiú,play ball
64,到,dào,reach
65,得到,dé dào,get
68,等(动),děng,wait
87,动,dòng,move
88,动作,dòngzuò,action
90,读,dú,read
91,读书,dú shū,reading; study
103,放,fàng,discharge
104,放假,fàng jià,holiday; have a holiday
105,放学,fàng xué,off school
106,飞,fēi,fly
113,干,gàn,do
114,干什么,gàn shén me,What to do
117,告诉,gàosu,tell
125,关(动),guān,shut; close; turn off
126,关上,guān shàng,close;shut to; turn off
131,过,guò,pass
144,喝,hē,drink
154,回(动),huí,go back; return
155,回答,huídá,Answer
156,回到,huí dào,back to
157,回家,huí jiā,go home; return home
158,回来,huí lái,come back; return
159,回去,huí qù,go back
160,会(动),huì,can; be able to
166,记,jì,remember
167,记得,jìdé,remember
168,记住,jì zhù,remember; keep in mind
173,见,jiàn,see; meet
174,见面,jiànmiàn,meet
175,教,jiāo,teach
176,叫(动),jiào,call; be called
179,介绍,jièshào,introduce
182,进,jìn,enter
183,进来,jìn lái,come in
184,进去,jìn qù,go in
186,就,jiù,as soon as; right away; then
188,开,kāi,open
189,开车,kāi chē,drive; drive a car
190,开会,kāi huì,have a meeting
191,开玩笑,kāiwánxiào,Make fun of
192,看,kàn,see
193,看病,kàn bìng,see a doctor
194,看到,kàn dào,see
195,看见,kànjiàn,seeing
196,考,kǎo,test; examine
197,考试,kǎoshì,Examination
205,来,lái,come
206,来到,lái dào,come; arrive
228,买,mǎi,buy
249,拿,ná,take
283,跑,pǎo,run
287,起,qǐ,get up; start; rise
288,起床,qǐchuáng,Get up
289,起来,qǐlái,get up
297,请假,qǐngjià,ask for leave
298,请进,qǐng jìn,please come in
299,请问,qǐng wèn,excuse me
300,请坐,qǐng zuò,please have a seat
302,去,qù,go
307,认识,rènshi,know
308,认真,rènzhēn,earnest
316,上班,shàngbān,go to work
318,上车,shàng chē,get on
320,上课,shàng kè,attend class; have a class
321,上网,shàngwǎng,Surf the Internet
323,上学,shàng xué,go to school
329,生病,shēngbìng,Fall ill
330,生气,shēngqì,get angry
331,生日,shēngrì,Birthday
340,试,shì,try
341,是,shì,yes
347,睡,shuì,sleep
348,睡觉,shuìjiào,sleep
349,说,shuō,speak
350,说话,shuōhuà,talk
352,送,sòng,give
361,听,tīng,hear
362,听到,tīng dào,hear
363,听见,tīng jiàn,hear
364,听写,tīng xiě,dictation; dictate
371,外语,wài yǔ,foreign language
372,玩儿,wánr,play
377,忘,wàng,forget
378,忘记,wàngjì,forget
379,问,wèn,ask
386,洗,xǐ,wash
387,洗手间,xǐshǒujiān,Restroom
388,喜欢,xǐhuan,like
389,下(名、动),xià,below; under; next; go down; get off
390,下班,xià bān,get off work
392,下车,xià chē,get off
394,下课,xià kè,finish class
396,下雨,xiàyǔ,rain
400,想,xiǎng,think
408,笑,xiào,laugh
409,写,xiě,write
417,休息,xiūxi,Rest
418,学,xué,learn; study
420,学习,xuéxí,Study
423,要(动),yào,want
440,用,yòng,use
452,月,yuè,month
453,再,zài,again
454,再见,zàijiàn,Bye
462,找,zhǎo,look for
463,找到,zhǎo dào,find
474,知道,zhīdào,know
475,知识,zhīshi,knowledge
485,住,zhù,live
486,准备,zhǔnbèi,Get ready
490,走,zǒu,go, walk
491,走路,zǒu lù,walk
498,坐,zuò,sit
499,坐下,zuò xià,sit down
500,做,zuò,do
