No,Chinese,Pinyin,English
6,白(形),bái,white
30,不大,bú dà,not big
31,不对,bú duì,wrong
32,不客气,bú kè qì,You're welcome
37,差,chà,differ from; bad; short of 
38,常,cháng,often
39,常常,cháng cháng,often
55,错,cuò,wrong
61,大,dà,large, big
89,都,dōu,all
92,对(形),duì,right
93,对不起,duìbuqǐ,I'm sorry
108,非常,fēicháng,very
110,风,fēng,wind
111,干,gān,dry
112,干净,gānjìng,clean
115,高,gāo,high
116,高兴,gāoxìng,happy
127,贵,guì,noble
138,好(形),hǎo,good
139,好吃,hǎochī,Yummy
140,好看,hǎo kàn,good looking
141,好听,hǎo tīng,pleasant to hear
142,好玩儿,hǎo wánr,fun; interesting
145,和,hé,and
146,很,hěn,very
147,后,hòu,back; behind; after; later
150,后天,hòu tiān,day after tomorrow
151,花(名),huā,flower
152,坏,huài,bad
153,还,huán,return; pay back
211,累,lèi,tired
212,冷,lěng,cold
229,慢,màn,slow
230,忙,máng,busy
246,明白,míngbai,clear
248,明天,míngtiān,Tomorrow
267,难,nán,hard, difficult
270,能,néng,can
293,前天,qián tiān,the day before yesterday
304,热,rè,heat
324,少,shǎo,less
341,是,shì,yes
342,是不是,shì bú shì,isn't it?
358,太,tài,too
359,天,tiān,day
397,先,xiān,before
399,现在,xiànzài,Now
401,小,xiǎo,Small
411,新,xīn,new
412,新年,xīn nián,New Year
413,星期,xīngqī,week
414,星期日,xīng qī rì,Sunday
415,星期天,xīng qī tiān,Sunday
425,也,yě,also
431,一半,yí bàn,half
432,一会儿,yíhuìr,A little while
433,一块儿,yí kuàir,together
434,一下儿,yí xiàr,a little bit
435,一样,yíyàng,equally
436,一边,yìbiān,One side
437,一点儿,yīdiǎnr,a little bit
438,一起,yìqǐ,together
439,一些,yì xiē,some
443,有名,yǒumíng,Famous
444,有时候｜有时,yǒu shí hòu ｜ yǒu shí,sometimes
445,有(一)些,yǒu ( yì ) xiē,some
446,有用,yǒu yòng,useful
451,远,yuǎn,far
469,着,zhe,in process of
470,真,zhēn,really
471,真的,zhēn de,really
472,正(副),zhèng,just; exactly
473,正在,zhèngzài,in process of
483,重,zhòng,heavy
484,重要,zhòngyào,important
492,最,zuì,most
493,最好,zuìhǎo,Best
494,最后,zuìhòu,Last
