No,Chinese,Pinyin,English
15,包,bāo,package
16,包子,bāo zi,bun
17,杯,bēi,cup
18,杯子,bēi zi,cup
35,菜,cài,dish
36,茶,chá,tea
46,吃,chī,eat
47,吃饭,chī fàn,have meal
95,多少,duōshao,how much
96,饿,è,hungry
99,饭,fàn,rice; meal
100,饭店,fàndiàn,restaurant
138,好(形),hǎo,good
139,好吃,hǎochī,Yummy
144,喝,hē,drink
152,坏,huài,bad
164,鸡蛋,jīdàn,Egg
197,渴,kě,thirsty
242,米饭,mǐfàn,Steamed Rice
243,面包,miànbāo,Bread
244,面条儿,miàn tiáor,noodles
259,奶,nǎi,milk
275,牛奶,niúnǎi,milk
294,钱,qián,money
295,钱包,qián bāo,wallet
302,去,qù,go
310,肉,ròu,meat
346,水果,shuǐguǒ,Fruits
361,听,tīng,hear
372,晚,wǎn,late
373,晚饭,wǎn fàn,dinner
374,晚上,wǎnshang,Night
383,午饭,wǔ fàn,lunch
458,早饭,zǎo fàn,breakfast
