No,Chinese,Pinyin,English
1,爱,ài,love
2,爱好,ài hào,hobby
4,爸爸｜爸,bàba ｜ bà,dad
29,病人,bìng rén,patient
74,弟弟｜弟,dì di ｜ dì,younger brother
97,儿子,érzi,Son
118,哥哥｜哥,gē ge ｜ gē,elder brother
121,给,gěi,give
122,跟,gēn,with
124,工作,gōngzuò,work
135,孩子,háizi,Children
138,好(形),hǎo,good
173,见,jiàn,see; meet
174,见面,jiànmiàn,meet
178,姐姐｜姐,jiě jie ｜ jiě,elder sister
179,介绍,jièshào,introduce
187,觉得,juéde,Think
209,老师,lǎoshī,Teacher
224,妈妈｜妈,mā ma ｜ mā,mom; mother
236,没有,méi yǒu,have not; no
237,妹妹｜妹,mèi mei ｜ mèi,younger sister
245,名字,míngzi,Name
260,奶奶,nǎinai,grandma
261,男,nán,Man
262,男孩儿,nán háir,boy
263,男朋友,nán péng yǒu,boyfriend
264,男人,nán ren,man
265,男生,nán shēng,boy
271,你,nǐ,you
272,你们,nǐ men,you
274,您,nín,you
276,女,nǚ,woman
277,女儿,nǚ'ér,daughter
278,女孩儿,nǚ háir,girl
279,女朋友,nǚ péng yǒu,girlfriend
280,女人,nǚ ren,woman
281,女生,nǚ shēng,girl
284,朋友,péngyou,Friend
306,人,rén,people
307,认识,rènshi,know
325,谁,shéi,who
353,岁,suì,year, age
354,他,tā,he
355,他们,tā men,they
356,她,tā,she
357,她们,tā men,they
366,同学,tóngxué,Classmate
380,我,wǒ,I
381,我们,wǒmen,We
398,先生,xiānsheng,Sir
400,想,xiǎng,think
402,小孩儿,xiǎo háir,child; kid
403,小姐,xiǎojiě,Miss
404,小朋友,xiǎo péng yǒu,child; kid
407,小学生,xiǎo xué shēng,elementary school student
410,谢谢,xièxie,Thank you
418,学生,xuésheng,Student
424,爷爷,yéye,grandpa
429,医生,yīshēng,Doctor
443,有名,yǒumíng,Famous
